Email Text,Label
"Win a free iPhone now! Click here...",Spam
"Meeting at 5 PM, see you there.",Not Spam
"Exclusive offer! 50% off on all products.",Spam
"Hello, please find the attached report.",Not Spam
"Congratulations! You've won a free trip to Dubai.",Spam
"Can we reschedule our call for tomorrow?",Not Spam
"Click this link to claim your lottery prize!",Spam
"Let's catch up over coffee next week.",Not Spam
"Buy now! Limited stock available!",Spam
"Looking forward to our meeting.",Not Spam
"Urgent: Your account has been compromised!",Spam
"Please review the project proposal.",Not Spam
"Get rich quick with this amazing opportunity!",Spam
"I've attached the invoice for your review.",Not Spam
"Winner! You have won $1,000,000!",Spam
"Our company is hiring software engineers.",Not Spam
"Your PayPal account needs verification.",Spam
"The event is scheduled for next Friday.",Not Spam
"Final notice: Claim your reward today!",Spam
"Can we schedule a call next week?",Not Spam
